Thu Jun  5 23:31:38 -03 2025
Running test 1 for UF: brazil with algorithm: ACO
AntColonyOptimization::new() called with 5570 cities, using 25 antsExecute AntColonyOptimization
Iteration 302: Best Cost = 1461.5643
Iteration 303: Best Cost = 1461.5643
Iteration 304: Best Cost = 1461.5643
Iteration 305: Best Cost = 1461.5643
Iteration 306: Best Cost = 1461.5643
Iteration 307: Best Cost = 1461.5643
Iteration 308: Best Cost = 1461.5643
Iteration 309: Best Cost = 1461.5643
Iteration 310: Best Cost = 1461.5643
Iteration 311: Best Cost = 1461.5643
Iteration 312: Best Cost = 1461.5643
Iteration 313: Best Cost = 1461.5643
Iteration 314: Best Cost = 1461.5643
Iteration 315: Best Cost = 1461.5643
Iteration 316: Best Cost = 1461.5643
Iteration 317: Best Cost = 1461.5643
Iteration 318: Best Cost = 1461.5643
Iteration 319: Best Cost = 1461.5643
Iteration 320: Best Cost = 1461.5643
Iteration 321: Best Cost = 1461.5643
Iteration 322: Best Cost = 1461.5643
Iteration 323: Best Cost = 1461.5643
Iteration 324: Best Cost = 1461.5643
Iteration 325: Best Cost = 1461.5643
Iteration 326: Best Cost = 1461.5643
Iteration 327: Best Cost = 1461.5643
Iteration 328: Best Cost = 1461.5643
Iteration 329: Best Cost = 1461.5643
Iteration 330: Best Cost = 1461.5643
Iteration 331: Best Cost = 1461.5643
Iteration 332: Best Cost = 1461.5643
Iteration 333: Best Cost = 1461.5643
Iteration 334: Best Cost = 1461.5643
Iteration 335: Best Cost = 1461.5643
Iteration 336: Best Cost = 1461.5643
Iteration 337: Best Cost = 1461.5643
Iteration 338: Best Cost = 1461.5643
Iteration 339: Best Cost = 1461.5643
Iteration 340: Best Cost = 1461.5643
Iteration 341: Best Cost = 1461.5643
Iteration 342: Best Cost = 1460.2032
Iteration 343: Best Cost = 1460.2032
Iteration 344: Best Cost = 1460.2032
Iteration 345: Best Cost = 1460.2032
Iteration 346: Best Cost = 1460.2032
Iteration 347: Best Cost = 1460.2032
Iteration 348: Best Cost = 1460.2032
Iteration 349: Best Cost = 1460.2032
Iteration 350: Best Cost = 1460.2032
Iteration 351: Best Cost = 1460.2032
Iteration 352: Best Cost = 1460.2032
Iteration 353: Best Cost = 1460.2032
Iteration 354: Best Cost = 1460.2032
Iteration 355: Best Cost = 1460.2032
Iteration 356: Best Cost = 1460.2032
Iteration 357: Best Cost = 1460.2032
Iteration 358: Best Cost = 1460.2032
Iteration 359: Best Cost = 1460.2032
Iteration 360: Best Cost = 1460.2032
Iteration 361: Best Cost = 1460.2032
Iteration 362: Best Cost = 1460.2032
Iteration 363: Best Cost = 1460.2032
Iteration 364: Best Cost = 1460.2032
Iteration 365: Best Cost = 1460.2032
Iteration 366: Best Cost = 1460.2032
Iteration 367: Best Cost = 1460.2032
Iteration 368: Best Cost = 1460.2032
Iteration 369: Best Cost = 1460.2032
Iteration 370: Best Cost = 1460.2032
Iteration 371: Best Cost = 1460.2032
Iteration 372: Best Cost = 1460.2032
Iteration 373: Best Cost = 1460.2032
Iteration 374: Best Cost = 1460.2032
Iteration 375: Best Cost = 1460.2032
Iteration 376: Best Cost = 1460.2032
Iteration 377: Best Cost = 1460.2032
Iteration 378: Best Cost = 1460.2032
Iteration 379: Best Cost = 1460.2032
Iteration 380: Best Cost = 1460.2032
Iteration 381: Best Cost = 1460.2032
Iteration 382: Best Cost = 1460.2032
Iteration 383: Best Cost = 1460.2032
